ids	species	titles	summaries	documents
GSE60216	Homo sapiens	Comparative Analysis of Transcriptional Responses in Monocytes from Human Neonates, Adults, and Older Adults	Human neonates and older adults frequently exhibit a reduced capacity to control microbial infections. A variety of mechanisms involving both the innate and adaptive immune systems have been proposed to contribute to these deficiencies. The emergence of RNA sequencing (RNA-seq) as an accurate and quantitative method for examining mRNA levels provides an opportunity to compare transcriptional responses to a stimulus at a global scale in neonates, adults, and older adults. An examination of ex vivo monocyte responses to lipopolysaccharide stimulation or Listeria monocytogenes infection (with cord blood monocytes representing neonatal monocytes) revealed extensive similarities between all three age groups, with only a small number of genes exhibiting statistically significant differences. Using transcription factor motif analyses and RNA-seq data sets from a variety of mouse mutants, the most significant neonatal deficiencies corresponded to genes that require interferon response factor-3 or type 1 interferon signaling for their activation. In older adults, the most striking difference was broad, low-level activation of inflammatory genes prior to stimulation, consistent with prior evidence of a chronic inflammatory state in older adults. These results demonstrate the value of quantitative RNA-seq analyses and the feasibility of cross-species comparisons between well-defined mouse networks and human data sets.	Comparative Analysis of Transcriptional Responses in Monocytes from Human Neonates, Adults, and Older AdultsHuman neonates and older adults frequently exhibit a reduced capacity to control microbial infections. A variety of mechanisms involving both the innate and adaptive immune systems have been proposed to contribute to these deficiencies. The emergence of RNA sequencing (RNA-seq) as an accurate and quantitative method for examining mRNA levels provides an opportunity to compare transcriptional responses to a stimulus at a global scale in neonates, adults, and older adults. An examination of ex vivo monocyte responses to lipopolysaccharide stimulation or Listeria monocytogenes infection (with cord blood monocytes representing neonatal monocytes) revealed extensive similarities between all three age groups, with only a small number of genes exhibiting statistically significant differences. Using transcription factor motif analyses and RNA-seq data sets from a variety of mouse mutants, the most significant neonatal deficiencies corresponded to genes that require interferon response factor-3 or type 1 interferon signaling for their activation. In older adults, the most striking difference was broad, low-level activation of inflammatory genes prior to stimulation, consistent with prior evidence of a chronic inflammatory state in older adults. These results demonstrate the value of quantitative RNA-seq analyses and the feasibility of cross-species comparisons between well-defined mouse networks and human data sets.
GSE60217	Homo sapiens	Adenosine-to-inosine RNA editing controls cathepsin S expression in atherosclerosis by enabling HuR-mediated post-transcriptional regulation	Adenosine-to-inosine (A-to-I) RNA editing, which is catalyzed by a family of adenosine deaminase acting on RNA (ADAR) enzymes, is important in the epitranscriptomic regulation of RNA metabolism. However, the role of A-to-I RNA editing in vascular disease is unknown. Here we show that cathepsin S mRNA (CTSS), which encodes a cysteine protease associated with angiogenesis and atherosclerosis, is highly edited in human endothelial cells. The 3â² untranslated region (3â² UTR) of the CTSS transcript contains two inverted repeats, the AluJo and AluSx+ regions, which form a long stemâloop structure that is recognized by ADAR1 as a substrate for editing. RNA editing enables the recruitment of the stabilizing RNA-binding protein human antigen R (HuR; encoded by ELAVL1) to the 3â² UTR of the CTSS transcript, thereby controlling CTSS mRNA stability and expression. In endothelial cells, ADAR1 overexpression or treatment of cells with hypoxia or with the inflammatory cytokines interferon-Î³ and tumor-necrosis-factor-Î± induces CTSS RNA editing and consequently increases cathepsin S expression. ADAR1 levels and the extent of CTSS RNA editing are associated with changes in cathepsin S levels in patients with atherosclerotic vascular diseases, including subclinical atherosclerosis, coronary artery disease, aortic aneurysms and advanced carotid atherosclerotic disease. These results reveal a previously unrecognized role of RNA editing in gene expression in human atherosclerotic vascular diseases.	Adenosine-to-inosine RNA editing controls cathepsin S expression in atherosclerosis by enabling HuR-mediated post-transcriptional regulationAdenosine-to-inosine (A-to-I) RNA editing, which is catalyzed by a family of adenosine deaminase acting on RNA (ADAR) enzymes, is important in the epitranscriptomic regulation of RNA metabolism. However, the role of A-to-I RNA editing in vascular disease is unknown. Here we show that cathepsin S mRNA (CTSS), which encodes a cysteine protease associated with angiogenesis and atherosclerosis, is highly edited in human endothelial cells. The 3â² untranslated region (3â² UTR) of the CTSS transcript contains two inverted repeats, the AluJo and AluSx+ regions, which form a long stemâloop structure that is recognized by ADAR1 as a substrate for editing. RNA editing enables the recruitment of the stabilizing RNA-binding protein human antigen R (HuR; encoded by ELAVL1) to the 3â² UTR of the CTSS transcript, thereby controlling CTSS mRNA stability and expression. In endothelial cells, ADAR1 overexpression or treatment of cells with hypoxia or with the inflammatory cytokines interferon-Î³ and tumor-necrosis-factor-Î± induces CTSS RNA editing and consequently increases cathepsin S expression. ADAR1 levels and the extent of CTSS RNA editing are associated with changes in cathepsin S levels in patients with atherosclerotic vascular diseases, including subclinical atherosclerosis, coronary artery disease, aortic aneurysms and advanced carotid atherosclerotic disease. These results reveal a previously unrecognized role of RNA editing in gene expression in human atherosclerotic vascular diseases.
GSE60226	Mus musculus	CTCF functions as a chromatin insulator in the HoxA cluster during neurogenesis [RNA-Seq]	In this experiment, we sought to analyze how the transcriptome of WT, Î5|6, and Î5|6:7|9 cells vary during differentiation of ESCs into cervical motor neurons	CTCF functions as a chromatin insulator in the HoxA cluster during neurogenesis [RNA-Seq]In this experiment, we sought to analyze how the transcriptome of WT, Î5|6, and Î5|6:7|9 cells vary during differentiation of ESCs into cervical motor neurons
GSE60231	Mus musculus	RNA-Seq analysis to profile the transcriptome of Bone Marrow  Dendritic Cells exposed to different antigen delivery systems	Here we report the analysis of the transcriptome of bone marrow-derived dendritic cells exposed to the different antigen delivery systems to dissect the molecular mechanisms that orchestrate the immune response upon  vaccination. RNA-Sequencing revealed that exposure of dendritic cells to diffent antigen display vehicules causes the deregulation of molecules involved in the immune response, at a different extent, depending on the carrier. In vaccinology, patterns of gene expression induced by priming antigen presenting cells (APCs), could be used to predict immunogenicity and the type of T-helper cell polarization, and/or to helpin selecting an appropriate adjuvant to administer in the vaccine formulation.	RNA-Seq analysis to profile the transcriptome of Bone Marrow  Dendritic Cells exposed to different antigen delivery systemsHere we report the analysis of the transcriptome of bone marrow-derived dendritic cells exposed to the different antigen delivery systems to dissect the molecular mechanisms that orchestrate the immune response upon  vaccination. RNA-Sequencing revealed that exposure of dendritic cells to diffent antigen display vehicules causes the deregulation of molecules involved in the immune response, at a different extent, depending on the carrier. In vaccinology, patterns of gene expression induced by priming antigen presenting cells (APCs), could be used to predict immunogenicity and the type of T-helper cell polarization, and/or to helpin selecting an appropriate adjuvant to administer in the vaccine formulation.
GSE60237	Homo sapiens	A hyper-dynamic nature of bivalent promoter states underlies coordinated developmental gene expression modules	Adipose stem cells (ASCs) and adipocytes play a crucial role in maintaining energy balance. We aim to examine the temporal relationship between gene expression and histone modification transitions during in vitro differentiation of human ASCs into adipocytes. Here, we examine by RNAseq proliferating ASCs (Day -2 prior to adipogenic induction), confluent ASCs (Day 0, adipogenic induction), pre-adipocytes (Day 3) and maturing adipocytes (Day 9). We find 1060, 5452 and 2216 genes differentially expressed between D-2/D0, D0/D3 and D3/D9 respectively. We identify gene clusters with distinct and dynamic expression patterns. In particular, adipogenic induction is marked by temporal waves of gene induction and downregulation. We report two types of transcriptional waves: (i) those showing transient induction or inactivation at D0, D3 or D9, and involved in sensory perception and immune response functions; and (ii) those showing long-lived induction or repression at these time points. Our data reveal a dynamic network of gene regulation during adipogenesis, involving signaling, immune and developmental processes. We identify 15 unique epigenetic states using Hidden Markov Modeling which reflects an epigenetically highly organised genome showing enhancer states are commonly consecutive. A heatmap for the abundance of epigenetic states for the expression clusters reveals a link between expression and epigenetic marking of the state suggesting an increase in the number of number of chromatin states with increase in expression. Our data point to a model of increased epigenetic complexity associated with gene expression.	A hyper-dynamic nature of bivalent promoter states underlies coordinated developmental gene expression modulesAdipose stem cells (ASCs) and adipocytes play a crucial role in maintaining energy balance. We aim to examine the temporal relationship between gene expression and histone modification transitions during in vitro differentiation of human ASCs into adipocytes. Here, we examine by RNAseq proliferating ASCs (Day -2 prior to adipogenic induction), confluent ASCs (Day 0, adipogenic induction), pre-adipocytes (Day 3) and maturing adipocytes (Day 9). We find 1060, 5452 and 2216 genes differentially expressed between D-2/D0, D0/D3 and D3/D9 respectively. We identify gene clusters with distinct and dynamic expression patterns. In particular, adipogenic induction is marked by temporal waves of gene induction and downregulation. We report two types of transcriptional waves: (i) those showing transient induction or inactivation at D0, D3 or D9, and involved in sensory perception and immune response functions; and (ii) those showing long-lived induction or repression at these time points. Our data reveal a dynamic network of gene regulation during adipogenesis, involving signaling, immune and developmental processes. We identify 15 unique epigenetic states using Hidden Markov Modeling which reflects an epigenetically highly organised genome showing enhancer states are commonly consecutive. A heatmap for the abundance of epigenetic states for the expression clusters reveals a link between expression and epigenetic marking of the state suggesting an increase in the number of number of chromatin states with increase in expression. Our data point to a model of increased epigenetic complexity associated with gene expression.
GSE60243	Mus musculus	"Tristetraprolin (TTP) regulated splenic transcriptome in ""Triple KO"" mice"	"Tristetraprolin (TTP)  binds to specific AU-rich elements in the 3'UTR of certain transcripts and regulates post-transcriptional gene expression by increasing the rate of mRNA turnover.  In this study, we evaluated the effects of TTP deficiency on the overall gene expression of spleen tissue, in order to discover tissue specific targets of TTP under normal physiologic conditions.  We utilized ""Triple KO"" (Zfp36-/-/TNFR1-/-/TNFR2-/-) mice that are deficient in TTP and two TNF receptors and compared the transcriptomic changes to ""Double KO"" (TNFR1-/-/TNFR2-/-) and WT mice.  Spleen mRNA from four WT, four ""Double KO"", and four ""Triple mice"" was subjected to RNA-Seq in two phases.  All the animals used in this study were males between the ages of 12-14 weeks and were on a mixed (75% C57BL/6NTac, 25% 129/SVEV) background."	"Tristetraprolin (TTP) regulated splenic transcriptome in ""Triple KO"" miceTristetraprolin (TTP)  binds to specific AU-rich elements in the 3'UTR of certain transcripts and regulates post-transcriptional gene expression by increasing the rate of mRNA turnover.  In this study, we evaluated the effects of TTP deficiency on the overall gene expression of spleen tissue, in order to discover tissue specific targets of TTP under normal physiologic conditions.  We utilized ""Triple KO"" (Zfp36-/-/TNFR1-/-/TNFR2-/-) mice that are deficient in TTP and two TNF receptors and compared the transcriptomic changes to ""Double KO"" (TNFR1-/-/TNFR2-/-) and WT mice.  Spleen mRNA from four WT, four ""Double KO"", and four ""Triple mice"" was subjected to RNA-Seq in two phases.  All the animals used in this study were males between the ages of 12-14 weeks and were on a mixed (75% C57BL/6NTac, 25% 129/SVEV) background."
GSE60261	Mus musculus	Quantitative Analysis of Wild Type and Dicer1-ifKO Hippocampal Transcriptomes (mRNA and small RNA) Through Next Generation Sequencing (mRNA-Seq).	Methods: CaMKIIa-creERT2 (Erdmann et al., 2007) and Dicer1f/f (Harfe et al., 2005) were crossed to produce inducible forebrain-restricted Dicer1 knockout mice (Dicer-ifKO) mice. Hippocampal mRNA profiles of 3-month-old wild-type (WT) and (Dicer-ifKO) mice were generated by deep sequencing, in triplicate, using Illumina HiSeq 2500. Each sample included total RNA isolated from the hippocampus of 3 mice. In total, 12 mice per genotype were used. The sequence reads that passed quality filters were mapped to reference genome (GRCm38/mm10) using Bowtie 2 (2.0.5) and TopHat (2.0.6). SAM/BAM files were further processed with Samtools (0.1.18). Read count quantitations were obtained using Seqmonk (0.26.0). Normalization of read counts and differential expression analysis between genotypes was carried out using DESeq2 R package from Bioconductor (Release 2.13). qRTâPCR validation was performed using SYBR Green assays.Results: We mapped about 13-14 million sequence reads per sample to the mouse genome (build GRCm38/mm10) and quantified 76,938 annotated transcripts. DESeq2 R package was used to normalize the counts and perform the differential expression. Differential analysis output was filtered by FDR threshold (padj < 0.1). This approach led us to identify 641 gene isoforms, corresponding to 314 genes that were differentially regulated in the mouse hippocampus upon Dicer ablation.Conclusions: We extend here the characterization of inducible forebrain-restricted Dicer1 mutants confirming the initial memory improvement. Moreover, we describe several novel phenotypes associated with early Dicer loss in the mature brain including an exacerbated response to seizures, increased CA1 neuron excitability, a pronounced weight gain and enhanced induction of immediate early genes (IEGs) in relevant neuronal nuclei. To identify candidate genes that could explain these phenotypes, we conducted two complementary genomic screens for the miRNAs primarily affected and their targets. Overall, our results explain both the initial and late consequences of Dicer loss in excitatory neurons and indicate that Dicer and the miRNA system play a critical role regulating neuronal homeostasis and responsiveness.	Quantitative Analysis of Wild Type and Dicer1-ifKO Hippocampal Transcriptomes (mRNA and small RNA) Through Next Generation Sequencing (mRNA-Seq).Methods: CaMKIIa-creERT2 (Erdmann et al., 2007) and Dicer1f/f (Harfe et al., 2005) were crossed to produce inducible forebrain-restricted Dicer1 knockout mice (Dicer-ifKO) mice. Hippocampal mRNA profiles of 3-month-old wild-type (WT) and (Dicer-ifKO) mice were generated by deep sequencing, in triplicate, using Illumina HiSeq 2500. Each sample included total RNA isolated from the hippocampus of 3 mice. In total, 12 mice per genotype were used. The sequence reads that passed quality filters were mapped to reference genome (GRCm38/mm10) using Bowtie 2 (2.0.5) and TopHat (2.0.6). SAM/BAM files were further processed with Samtools (0.1.18). Read count quantitations were obtained using Seqmonk (0.26.0). Normalization of read counts and differential expression analysis between genotypes was carried out using DESeq2 R package from Bioconductor (Release 2.13). qRTâPCR validation was performed using SYBR Green assays.Results: We mapped about 13-14 million sequence reads per sample to the mouse genome (build GRCm38/mm10) and quantified 76,938 annotated transcripts. DESeq2 R package was used to normalize the counts and perform the differential expression. Differential analysis output was filtered by FDR threshold (padj < 0.1). This approach led us to identify 641 gene isoforms, corresponding to 314 genes that were differentially regulated in the mouse hippocampus upon Dicer ablation.Conclusions: We extend here the characterization of inducible forebrain-restricted Dicer1 mutants confirming the initial memory improvement. Moreover, we describe several novel phenotypes associated with early Dicer loss in the mature brain including an exacerbated response to seizures, increased CA1 neuron excitability, a pronounced weight gain and enhanced induction of immediate early genes (IEGs) in relevant neuronal nuclei. To identify candidate genes that could explain these phenotypes, we conducted two complementary genomic screens for the miRNAs primarily affected and their targets. Overall, our results explain both the initial and late consequences of Dicer loss in excitatory neurons and indicate that Dicer and the miRNA system play a critical role regulating neuronal homeostasis and responsiveness.
GSE60271	Homo sapiens	Enhancer Activation Requires Trans-Recruitment of a Mega Transcription Factor Complex (Gro-seq)	Enhancers provide critical information directing cell-type specific transcriptional programs, regulated by binding of signal-dependent transcription factors and their associated cofactors. Here we report that the most strongly activated estrogen (E2)-responsive enhancers are characterized by trans-recruitment and in situ assembly of a large 1-2MDa complex of diverse DNA-binding transcription factors by ERÎ± at ERE-containing enhancers. We refer to enhancers recruiting these factors as mega transcription factor-bound in trans (MegaTrans) enhancers. The MegaTrans complex is a signature of the most potent functional enhancers and is required for activation of enhancer RNA transcription and recruitment of coactivators, including p300 and Med1. The MegaTrans complex functions, in part, by recruiting specific enzymatic machinery, exemplified by DNA-dependent protein kinase. Thus, MegaTrans-containing enhancers represent a cohort of functional enhancers that mediate a broad and important transcriptional program and provide a molecular explanation for transcription factor clustering and hotspots noted in the genome.	Enhancer Activation Requires Trans-Recruitment of a Mega Transcription Factor Complex (Gro-seq)Enhancers provide critical information directing cell-type specific transcriptional programs, regulated by binding of signal-dependent transcription factors and their associated cofactors. Here we report that the most strongly activated estrogen (E2)-responsive enhancers are characterized by trans-recruitment and in situ assembly of a large 1-2MDa complex of diverse DNA-binding transcription factors by ERÎ± at ERE-containing enhancers. We refer to enhancers recruiting these factors as mega transcription factor-bound in trans (MegaTrans) enhancers. The MegaTrans complex is a signature of the most potent functional enhancers and is required for activation of enhancer RNA transcription and recruitment of coactivators, including p300 and Med1. The MegaTrans complex functions, in part, by recruiting specific enzymatic machinery, exemplified by DNA-dependent protein kinase. Thus, MegaTrans-containing enhancers represent a cohort of functional enhancers that mediate a broad and important transcriptional program and provide a molecular explanation for transcription factor clustering and hotspots noted in the genome.
GSE60283	Mus musculus	Impact of HP1gamma and HP1gamma S83 phosphorylation on the transcriptionnal effect of PMA stimulation of mouse fibroblasts	We have here followed the transcriptional effect of stimulation with the phorbol ester PMA in mouse fibroblasts from HP1gamma null mice recomplemented with either wild-type HP1gamma or an HP1g with an S83A mutation	Impact of HP1gamma and HP1gamma S83 phosphorylation on the transcriptionnal effect of PMA stimulation of mouse fibroblastsWe have here followed the transcriptional effect of stimulation with the phorbol ester PMA in mouse fibroblasts from HP1gamma null mice recomplemented with either wild-type HP1gamma or an HP1g with an S83A mutation
GSE60285	Mus musculus	HEB associates with PRC2 and SMAD2/3 to regulate developmental fates [RNA-Seq]	We report the interaction between HEB and PRC2 components in mouse embryonic stem cells (ESCs)	HEB associates with PRC2 and SMAD2/3 to regulate developmental fates [RNA-Seq]We report the interaction between HEB and PRC2 components in mouse embryonic stem cells (ESCs)
GSE60296	Homo sapiens	Comparison of total and cytoplasmic mRNA reveals global regulation by nuclear retention and miRNAs	We extracted RNA from whole cells and RNA from the cytoplasm and performed RNA sequening to compare differences in gene expression level and investigate what is the most appropriate estimate of the amount of mRNA present in a given cell population. The study was based on three human cell lines.	Comparison of total and cytoplasmic mRNA reveals global regulation by nuclear retention and miRNAsWe extracted RNA from whole cells and RNA from the cytoplasm and performed RNA sequening to compare differences in gene expression level and investigate what is the most appropriate estimate of the amount of mRNA present in a given cell population. The study was based on three human cell lines.
GSE60297	Mus musculus	Single cell RNA-seq analysis of mature thymic epithelial cells	This study set out to assay the (polyA+) transcriptomes of single mature (MHCII high) mouse medullary thymic epithelial cells (mTEC).	Single cell RNA-seq analysis of mature thymic epithelial cellsThis study set out to assay the (polyA+) transcriptomes of single mature (MHCII high) mouse medullary thymic epithelial cells (mTEC).
GSE60307	Mus musculus	RNA Sequencing Analysis of Mouse Bone Marrow Derived Dendritic Cells Transcriptomes During Maturation	Purpose:The purpose of this study is to detect activated or silenced genes during LPS-induced dendritic cell maturation. Gene expression differences between two samples could be found using transcriptome profiling (RNA-seq) analysis.Methods:Mouse dendritic cells were generated from bone marrow cells in  RPMI-1640 medium with recombinant mouse GM-CSF and IL-4, mature DCs were obtained after LPS induced maturation. Immature DCs and mature DCs were sorted respectively based on maturation marker CD86 and Iab(MHCII) using flowcytrometer. DC mRNA profiles were generated by deep sequencing,using IlluminaResults: We mapped about 10 million sequence reads per sample to the mouse genome, identified 1,300 upregulated genes and 1,475 dow regulated genes during dendritic cell maturation.	RNA Sequencing Analysis of Mouse Bone Marrow Derived Dendritic Cells Transcriptomes During MaturationPurpose:The purpose of this study is to detect activated or silenced genes during LPS-induced dendritic cell maturation. Gene expression differences between two samples could be found using transcriptome profiling (RNA-seq) analysis.Methods:Mouse dendritic cells were generated from bone marrow cells in  RPMI-1640 medium with recombinant mouse GM-CSF and IL-4, mature DCs were obtained after LPS induced maturation. Immature DCs and mature DCs were sorted respectively based on maturation marker CD86 and Iab(MHCII) using flowcytrometer. DC mRNA profiles were generated by deep sequencing,using IlluminaResults: We mapped about 10 million sequence reads per sample to the mouse genome, identified 1,300 upregulated genes and 1,475 dow regulated genes during dendritic cell maturation.
GSE60334	Mus musculus	DNA methylation analysis and expression profiling during murine embryogenesis and in embryos deficient for DNMT3A or DNMT3B	We quantified the targets and kinetics of DNA methylation acquisition in mouse embryos, and determined the contribution of the de novo methyltransferases DNMT3A and DNMT3B to this process. We provide single-base maps of cytosine methylation by RRBS from the blastocysts to post-implantation stages and in embryos lacking DNMT3A or DNMT3B activity, and performed RNA-Seq in embryos lacking DNMT3B activity.	DNA methylation analysis and expression profiling during murine embryogenesis and in embryos deficient for DNMT3A or DNMT3BWe quantified the targets and kinetics of DNA methylation acquisition in mouse embryos, and determined the contribution of the de novo methyltransferases DNMT3A and DNMT3B to this process. We provide single-base maps of cytosine methylation by RRBS from the blastocysts to post-implantation stages and in embryos lacking DNMT3A or DNMT3B activity, and performed RNA-Seq in embryos lacking DNMT3B activity.
GSE60340	Homo sapiens	Pathway Profiling of Replicative and Induced Senescence	RNA-seq was performed on LFS MDAH041 cells that were young (PD10-12), aging (PD17-19) and replicatively senescent (PD28-30), as well as spontaneously immortal cells and cells that were induced into senescence or quiescence,  in order to profile the pathways common in all 4 types of sensecence and the pathways affected as a cell approaches senescence.	Pathway Profiling of Replicative and Induced SenescenceRNA-seq was performed on LFS MDAH041 cells that were young (PD10-12), aging (PD17-19) and replicatively senescent (PD28-30), as well as spontaneously immortal cells and cells that were induced into senescence or quiescence,  in order to profile the pathways common in all 4 types of sensecence and the pathways affected as a cell approaches senescence.
GSE60361	Mus musculus	Single-cell RNA-seq of mouse cerebral cortex	We have applied a recently developed, highly accurate and sensitive single-cell RNA-seq method (STRT/C1) to perform a molecular census of two regions of the mouse cerebral cortex: the somatosensory cortex and hippocampus CA1.	Single-cell RNA-seq of mouse cerebral cortexWe have applied a recently developed, highly accurate and sensitive single-cell RNA-seq method (STRT/C1) to perform a molecular census of two regions of the mouse cerebral cortex: the somatosensory cortex and hippocampus CA1.
GSE60367	Mus musculus	CXCL12/CXCR4 signaling mediates niche occupancy and tumor maintenance in T-cell leukemia	T-cell acute lymphoblastic leukemia (T-ALL) is an aggressive hematological malignancy characterized by infiltration of the bone marrow and other sites with transformed T cell progenitors. The role of tissue microenvironments in the pathogenesis of T-ALL or any other type of acute leukemia is little understood. In delineating interactions between T-ALL cells and their environment, we initially found that T-ALL cells express high surface levels of the chemokine receptor CXCR4. Intravital imaging of an intact tibia revealed T-ALL cells in direct contact with bone marrow stromal cells producing the CXCR4 ligand, CXCL12. Genetic targeting of CXCR4 on T-ALL cells resulted in a marked reduction of leukemia burden and prolonged disease remission, and disruption of the CXCL12/CXCR4 axis using small molecule inhibitors prevented T-ALL progression in a primary xenograft model. Finally, we were able to show that CXCR4 inhibition significantly decreased expression of Myc and its target genes. Myc expression is a key regulator of T-ALL leukemia initiating cell (LIC) activity, suggesting that CXCR4 inhibition can suppress LIC activity by silencing the Myc response in T-ALL cells. Our data suggest that targeting of CXCL12/CXCR4 signaling could be a powerful new tool for combating T-ALL, a disease with no current targeted therapies.	CXCL12/CXCR4 signaling mediates niche occupancy and tumor maintenance in T-cell leukemiaT-cell acute lymphoblastic leukemia (T-ALL) is an aggressive hematological malignancy characterized by infiltration of the bone marrow and other sites with transformed T cell progenitors. The role of tissue microenvironments in the pathogenesis of T-ALL or any other type of acute leukemia is little understood. In delineating interactions between T-ALL cells and their environment, we initially found that T-ALL cells express high surface levels of the chemokine receptor CXCR4. Intravital imaging of an intact tibia revealed T-ALL cells in direct contact with bone marrow stromal cells producing the CXCR4 ligand, CXCL12. Genetic targeting of CXCR4 on T-ALL cells resulted in a marked reduction of leukemia burden and prolonged disease remission, and disruption of the CXCL12/CXCR4 axis using small molecule inhibitors prevented T-ALL progression in a primary xenograft model. Finally, we were able to show that CXCR4 inhibition significantly decreased expression of Myc and its target genes. Myc expression is a key regulator of T-ALL leukemia initiating cell (LIC) activity, suggesting that CXCR4 inhibition can suppress LIC activity by silencing the Myc response in T-ALL cells. Our data suggest that targeting of CXCL12/CXCR4 signaling could be a powerful new tool for combating T-ALL, a disease with no current targeted therapies.
GSE60377	Mus musculus	Setdb1 is required for persistence of H3K9me3 and repression of endogenous retroviruses in mouse primordial germ cells	Transcription of endogenous retroviruses (ERVs) is inhibited by de novo DNA methylation during gametogenesis, a process initiated after birth in oocytes and at ~E15.5 in prospermatogonia. Earlier in germline development however, the genome, including most retrotransposons, is progressively demethylated, with young ERVK and ERV1 elements retaining intermediate methylation levels. As DNA methylation reaches a low point in E13.5 primordial germ cells (PGCs) of both sexes, we determined whether retrotransposons are marked by H3K9me3 and H3K27me3 using a recently developed low input ChIP-seq method. Although these repressive histone modifications are predominantly found on distinct genomic regions in E13.5 PGCs, they concurrently mark partially methylated LTRs and LINE1 elements. Germline-specific conditional knock-out (KO) of the H3K9 methyltransferase SETDB1 yields a decrease of both histone marks and DNA methylation at H3K9me3 enriched retrotransposon families. Strikingly, Setdb1-KO E13.5 PGCs show concomitant de-repression of many marked ERVs, including IAP, ETn and ERVK10C elements and ERV-proximal genes, a subset in a sex-dependent manner. Furthermore, Setdb1 deficiency is associated with a reduced number of male PGCs and postnatal hypogonadism in both sexes. Taken together, these observations reveal that SETDB1 is an essential guardian against proviral expression prior to the onset of de novo DNA methylation in the germline.	Setdb1 is required for persistence of H3K9me3 and repression of endogenous retroviruses in mouse primordial germ cellsTranscription of endogenous retroviruses (ERVs) is inhibited by de novo DNA methylation during gametogenesis, a process initiated after birth in oocytes and at ~E15.5 in prospermatogonia. Earlier in germline development however, the genome, including most retrotransposons, is progressively demethylated, with young ERVK and ERV1 elements retaining intermediate methylation levels. As DNA methylation reaches a low point in E13.5 primordial germ cells (PGCs) of both sexes, we determined whether retrotransposons are marked by H3K9me3 and H3K27me3 using a recently developed low input ChIP-seq method. Although these repressive histone modifications are predominantly found on distinct genomic regions in E13.5 PGCs, they concurrently mark partially methylated LTRs and LINE1 elements. Germline-specific conditional knock-out (KO) of the H3K9 methyltransferase SETDB1 yields a decrease of both histone marks and DNA methylation at H3K9me3 enriched retrotransposon families. Strikingly, Setdb1-KO E13.5 PGCs show concomitant de-repression of many marked ERVs, including IAP, ETn and ERVK10C elements and ERV-proximal genes, a subset in a sex-dependent manner. Furthermore, Setdb1 deficiency is associated with a reduced number of male PGCs and postnatal hypogonadism in both sexes. Taken together, these observations reveal that SETDB1 is an essential guardian against proviral expression prior to the onset of de novo DNA methylation in the germline.
GSE60391	Homo sapiens	Global Regulation of Alternative Internal Exon Usage by mRNA 3' End Formation Factors [RNA-Seq]	RNA-seq analysis of samples from Non-silencing, RBFOX2 and CPSF2 knockdown cells	Global Regulation of Alternative Internal Exon Usage by mRNA 3' End Formation Factors [RNA-Seq]RNA-seq analysis of samples from Non-silencing, RBFOX2 and CPSF2 knockdown cells
GSE60397	Mus musculus	Reprogramming of Polycomb-mediated gene silencing in embryonic stem cells by the miR-290 family and the methyltransferase Ash1l	Genome-wide analysis of Jarid2, Suz12 and  H3K27me3 profiling in DCR-/- and DCRfl/fl ESCs performed by ChIP-seq and transcriptome analysis by RNA-seq	Reprogramming of Polycomb-mediated gene silencing in embryonic stem cells by the miR-290 family and the methyltransferase Ash1lGenome-wide analysis of Jarid2, Suz12 and  H3K27me3 profiling in DCR-/- and DCRfl/fl ESCs performed by ChIP-seq and transcriptome analysis by RNA-seq
GSE60402	Mus musculus	RNA-seq of laser-capture microdissected 50x50x50 um tissue cubes from the medial ganglionic eminence of wild-type and GFRa1 mutant mice	Cortical interneurons originating from the medial ganglionic eminence (MGE) are among the most diverse cells within the CNS. Different pools of proliferating progenitor cells are thought to exist in the ventricular zone of the MGE, but whether the underlying subventricular and mantle regions of the MGE are spatially patterned has not yet been addressed. Here, we combined laser-capture microdissection and multiplex RNA-sequencing to map the transcriptome of MGE cells at a spatial resolution of 50 Âµm. Distinct groups of progenitor cells showing different stages of interneuron maturation were identified and topographically mapped based on their genome-wide transcriptional pattern.	RNA-seq of laser-capture microdissected 50x50x50 um tissue cubes from the medial ganglionic eminence of wild-type and GFRa1 mutant miceCortical interneurons originating from the medial ganglionic eminence (MGE) are among the most diverse cells within the CNS. Different pools of proliferating progenitor cells are thought to exist in the ventricular zone of the MGE, but whether the underlying subventricular and mantle regions of the MGE are spatially patterned has not yet been addressed. Here, we combined laser-capture microdissection and multiplex RNA-sequencing to map the transcriptome of MGE cells at a spatial resolution of 50 Âµm. Distinct groups of progenitor cells showing different stages of interneuron maturation were identified and topographically mapped based on their genome-wide transcriptional pattern.
